Employee Name,EmpID,Salary,Position,State,Birthdate,Age,Gender,MaritalStatus,CitizenDesc,HireDate,TerminDate,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Wilson K Adinolfi,10026,62506,Production Technician I,GE,7.10.88,35,M ,Single,Switzerland,7.5.16,,N/A-StillEmployed,Active,Production,Michael Albert,LinkedIn,Exceeds,4.6,5,0,17.1.23,0,1
Karthikeyan Ait Sidi,10084,104437,Sr. DBA,GE,5.5.80,43,M ,Married,Switzerland,30.3.20,16.6.21,career change,Voluntarily Terminated,IT/IS,Simon Roup,Indeed,Fully Meets,4.96,3,6,24.2.20,0,17
Sarah Akinkuolie,10196,64955,Production Technician II,GE,19.9.93,30,F,Married,Switzerland,7.5.16,24.9.17,hours,Voluntarily Terminated,Production,Kissy Sullivan,LinkedIn,Fully Meets,3.02,3,0,15.5.16,0,3
Trina Alagbe,10088,64991,Production Technician I,GE,27.9.93,30,F,Married,Switzerland,1.7.13,,N/A-StillEmployed,Active,Production,Elijiah Gray,Indeed,Fully Meets,4.84,5,0,1.3.23,0,15
Carol Anderson,10069,50825,Production Technician I,GE,9.8.94,29,F,Divorced,Switzerland,7.11.16,9.6.21,return to school,Voluntarily Terminated,Production,Webster Butler,Google Search,Fully Meets,5,4,0,2.1.20,0,2
Linda Anderson,10002,57568,Production Technician I,GE,22.5.82,41,F,Single,Switzerland,1.9.17,,N/A-StillEmployed,Active,Production,Amy Dunn,LinkedIn,Exceeds,5,5,0,1.7.23,0,15
Colby Andreola,10194,95660,Software Engineer,BE,24.5.84,39,F,Single,Switzerland,11.10.19,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,LinkedIn,Fully Meets,3.04,3,4,1.2.23,0,19
Sam Athwal,10062,59365,Production Technician I,GE,18.2.88,35,M ,Widowed,Switzerland,30.9.18,,N/A-StillEmployed,Active,Production,Ketsia Liebig,Employee Referral,Fully Meets,5,4,0,25.2.23,0,19
Linda Bachiochi,10114,47837,Production Technician I,GE,2.11.75,48,F,Single,Switzerland,7.6.14,,N/A-StillEmployed,Active,Production,Brannon Miller,Diversity Job Fair,Fully Meets,4.46,3,0,25.1.23,0,4
Alejandro Bacong,10250,50178,IT Support,GE,1.7.93,30,M ,Divorced,Switzerland,1.5.20,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,Indeed,Fully Meets,5,5,6,18.2.23,0,16
Rachael Baczenski,10252,54670,Production Technician I,GE,1.12.79,44,F,Married,Switzerland,1.10.16,1.12.22,Another position,Voluntarily Terminated,Production,David Stanley,Diversity Job Fair,Fully Meets,4.2,4,0,30.1.20,0,12
Thomas Barbara,10242,47211,Production Technician I,GE,21.2.79,44,M ,Married,Switzerland,4.2.17,19.9.21,unhappy,Voluntarily Terminated,Production,Kissy Sullivan,Diversity Job Fair,Fully Meets,4.2,3,0,5.6.20,0,15
Hector Barbossa,10012,92328,Data Analyst,GE,7.4.93,30,M ,Divorced,Switzerland,11.10.19,,N/A-StillEmployed,Active,IT/IS,Simon Roup,Diversity Job Fair,Exceeds,4.28,4,5,25.2.23,0,9
Francesco A Barone,10265,58709,Production Technician I,GE,20.7.88,35,M ,Single,Switzerland,20.2.17,,N/A-StillEmployed,Active,Production,Kelley Spirea,Google Search,Fully Meets,4.6,4,0,14.2.23,0,7
Nader Barton,10066,52505,Production Technician I,GE,15.7.82,41,M ,Divorced,Switzerland,24.9.17,4.6.22,Another position,Voluntarily Terminated,Production,Michael Albert,On-line Web application,Fully Meets,5,5,0,3.2.21,0,1
Norman Bates,10061,57834,Production Technician I,GE,18.10.86,37,M ,Single,Switzerland,21.2.16,8.4.22,attendance,Terminated for Cause,Production,Kelley Spirea,Google Search,Fully Meets,5,4,0,4.5.21,0,20
Kimberly Beak,10023,70131,Production Technician II,GE,17.4.71,52,F,Married,Switzerland,21.7.21,,N/A-StillEmployed,Active,Production,Kelley Spirea,Employee Referral,Exceeds,4.4,3,0,14.1.23,0,16
Courtney Beatrice,10055,59026,Production Technician I,GE,27.10.75,48,F,Single,Switzerland,4.4.16,,N/A-StillEmployed,Active,Production,Elijiah Gray,Google Search,Fully Meets,5,5,0,14.1.23,0,12
Renee Becker,10245,110000,Database Administrator,GE,4.4.91,32,F,Single,Switzerland,7.7.19,9.12.20,performance,Terminated for Cause,IT/IS,Simon Roup,Google Search,Fully Meets,4.5,4,5,15.1.19,0,8
Scott Becker,10277,53250,Production Technician I,GE,4.6.84,39,M ,Single,Switzerland,7.8.18,,N/A-StillEmployed,Active,Production,Webster Butler,LinkedIn,Fully Meets,4.2,4,0,1.11.23,0,13
Sean Bernstein,10046,51044,Production Technician I,GE,22.12.75,48,M ,Single,Switzerland,4.2.17,,N/A-StillEmployed,Active,Production,Amy Dunn,Google Search,Fully Meets,5,3,0,14.1.23,0,13
Lowan M Biden,10226,64919,Production Technician I,GE,27.12.63,60,F,Divorced,Switzerland,19.8.18,,N/A-StillEmployed,Active,Production,Ketsia Liebig,Indeed,Fully Meets,4.2,3,0,1.10.23,0,2
Helen Billis,10003,62910,Production Technician I,GE,9.1.94,29,F,Married,Switzerland,7.7.19,,N/A-StillEmployed,Active,Production,Brannon Miller,Indeed,Exceeds,5,3,0,27.2.23,0,19
Dianna Blount,10294,66441,Production Technician II,GE,21.9.95,28,F,Single,Switzerland,4.4.16,,N/A-StillEmployed,Active,Production,Michael Albert,CareerBuilder,Needs Improvement,2,3,0,27.2.23,2,3
Betsy Bondwell,10267,57815,Production Technician II,GE,16.1.72,51,F,Single,Switzerland,1.10.16,4.4.19,career change,Voluntarily Terminated,Production,Elijiah Gray,Google Search,Fully Meets,4.8,5,0,3.4.18,0,5
Frank Booth,10199,103613,Enterprise Architect,GE,30.7.69,54,M ,Single,Switzerland,17.2.19,19.2.21,Learned that he is a gangster,Terminated for Cause,IT/IS,Simon Roup,LinkedIn,Fully Meets,3.5,5,7,1.10.20,0,2
Bonalyn Boutwell,10081,106367,Sr. Accountant,ZH,4.4.92,31,F,Married,Switzerland,16.2.20,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,5,4,3,18.2.23,0,4
Charles Bozzi,10175,74312,Production Manager,GE,3.10.52,71,M ,Single,Switzerland,30.9.18,8.7.19,retiring,Voluntarily Terminated,Production,Janet King,Indeed,Fully Meets,3.39,3,0,20.2.18,0,14
Donna Brill,10177,53492,Production Technician I,GE,24.8.95,28,F,Married,Switzerland,4.2.17,15.6.18,Another position,Voluntarily Terminated,Production,David Stanley,Google Search,Fully Meets,3.35,4,0,3.4.17,0,6
Mia Brown,10238,63000,Accountant I,ZH,24.11.92,31,F,Married,Switzerland,27.10.13,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,4.5,2,6,15.1.23,0,14
Joseph Buccheri,10184,65288,Production Technician II,GE,28.7.88,35,M ,Single,Switzerland,29.9.19,,N/A-StillEmployed,Active,Production,Webster Butler,Google Search,Fully Meets,3.19,3,0,2.1.23,0,9
Josephine Bugali,10203,64375,Production Technician I,GE,30.10.74,49,F,Separated,Switzerland,11.11.18,,N/A-StillEmployed,Active,Production,Kissy Sullivan,Diversity Job Fair,Fully Meets,3.5,5,0,21.1.23,0,17
Jessica Bunbury,10188,74326,Area Sales Manager,VD,6.1.69,54,F,Married,Switzerland,15.8.16,8.2.19,Another position,Voluntarily Terminated,Sales,John Smith,Google Search,Fully Meets,3.14,5,0,2.10.17,1,19
Joelle Burke,10107,63763,Production Technician II,GE,3.2.85,38,F,Single,Switzerland,3.5.17,,N/A-StillEmployed,Active,Production,Amy Dunn,Employee Referral,Fully Meets,4.51,4,0,21.2.23,0,3
Benjamin Burkett,10181,62162,Production Technician II,GE,19.8.82,41,M ,Married,Switzerland,4.4.16,,N/A-StillEmployed,Active,Production,Ketsia Liebig,Indeed,Fully Meets,3.25,5,0,14.1.23,0,15
Max Cady,10150,77692,Software Engineering Manager,BE,22.11.71,52,M ,Single,Switzerland,15.8.16,,N/A-StillEmployed,Active,Software Engineering,Jennifer Zamora,Google Search,Fully Meets,3.84,3,5,21.1.23,0,4
Calvin Candie,10001,72640,Production Manager,GE,8.9.88,35,M ,Single,Switzerland,28.1.21,,N/A-StillEmployed,Active,Production,Janet King,Indeed,Exceeds,5,3,0,22.2.23,0,14
Judith Carabbio,10085,93396,Software Engineer,BE,4.5.92,31,F,Single,Switzerland,11.11.18,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,Indeed,Fully Meets,4.96,4,6,30.1.23,0,3
Michael Carey,10115,52846,Production Technician I,GE,2.2.88,35,M ,Single,Switzerland,31.3.19,,N/A-StillEmployed,Active,Production,Kelley Spirea,LinkedIn,Fully Meets,4.43,3,0,2.1.23,0,14
Claudia N Carr,10082,100031,Sr. DBA,GE,6.6.91,32,F,Single,Switzerland,30.6.21,,N/A-StillEmployed,Active,IT/IS,Simon Roup,LinkedIn,Fully Meets,5,5,6,18.2.23,0,7
Michelle Carter,10040,71860,Area Sales Manager,VD,15.5.68,55,F,Single,Switzerland,18.8.19,,N/A-StillEmployed,Active,Sales,John Smith,Indeed,Fully Meets,5,5,0,21.1.23,0,7
Beatrice Chace,10067,61656,Production Technician I,GE,1.2.61,62,F,Single,Switzerland,29.9.19,,N/A-StillEmployed,Active,Production,Michael Albert,Google Search,Fully Meets,5,4,0,2.12.23,0,11
Brian Champaigne,10108,110929,BI Director,GE,2.9.77,46,M ,Married,Switzerland,9.6.21,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,Indeed,Fully Meets,4.5,5,7,15.1.23,0,8
Lin Chan,10210,54237,Production Technician I,GE,2.12.84,39,F,Single,Switzerland,5.12.19,,N/A-StillEmployed,Active,Production,Elijiah Gray,Indeed,Fully Meets,3.3,4,0,19.2.23,0,11
Donovan E Chang,10154,60380,Production Technician I,GE,24.8.88,35,M ,Single,Switzerland,7.8.18,,N/A-StillEmployed,Active,Production,Webster Butler,LinkedIn,Fully Meets,3.8,5,0,14.1.23,0,4
Anton Chigurh,10200,66808,Area Sales Manager,VD,6.11.75,48,M ,Single,Switzerland,14.5.17,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Employee Referral,Fully Meets,3,5,0,19.1.23,0,17
Enola Chivukula,10240,64786,Production Technician I,GE,27.8.88,35,F,Single,Switzerland,27.6.16,15.11.20,relocation out of area,Voluntarily Terminated,Production,Amy Dunn,Indeed,Fully Meets,4.3,4,0,3.10.19,0,3
Caroline Cierpiszewski,10168,64816,Production Technician I,GE,31.5.93,30,F,Single,Switzerland,10.3.16,,N/A-StillEmployed,Active,Production,Ketsia Liebig,Indeed,Fully Meets,3.58,5,0,30.1.23,0,3
Rick Clayton,10220,68678,IT Support,GE,9.5.90,33,M ,Single,Switzerland,9.5.17,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,Indeed,Fully Meets,4.7,3,6,27.2.23,0,2
Jennifer Cloninger,10275,64066,Production Technician II,GE,31.8.86,37,F,Married,Switzerland,16.5.16,1.7.18,unhappy,Voluntarily Terminated,Production,Brannon Miller,Google Search,Fully Meets,4.2,5,0,5.3.16,0,9
Phil Close,10269,59369,Production Technician II,GE,25.11.83,40,M ,Married,Switzerland,30.8.15,26.9.16,career change,Voluntarily Terminated,Production,David Stanley,Indeed,Fully Meets,4.2,4,0,5.4.15,0,6
Elijian Clukey,10029,50373,Production Technician I,GE,26.8.85,38,M ,Married,Switzerland,7.6.21,,N/A-StillEmployed,Active,Production,Brannon Miller,Employee Referral,Exceeds,4.1,4,0,28.2.23,0,5
James Cockel,10261,63108,Production Technician I,GE,9.8.82,41,M ,Single,Switzerland,7.8.18,,N/A-StillEmployed,Active,Production,David Stanley,Employee Referral,Fully Meets,4.4,5,0,14.1.23,0,3
Spencer Cole,10292,59144,Production Technician I,GE,8.12.84,39,M ,Single,Switzerland,7.11.16,23.9.21,performance,Terminated for Cause,Production,Kissy Sullivan,LinkedIn,Needs Improvement,2,3,0,5.1.20,5,16
Michael Corleone,10282,68051,Production Manager,GE,17.12.80,43,M ,Divorced,Switzerland,20.7.15,,N/A-StillEmployed,Active,Production,Janet King,CareerBuilder,Needs Improvement,4.13,2,0,14.1.23,3,3
Vito Corleone,10019,170500,Director of Operations,GE,19.3.88,35,M ,Single,Switzerland,1.5.14,,N/A-StillEmployed,Active,Production,Janet King,Indeed,Exceeds,3.7,5,0,2.4.23,0,15
Lisa Cornett,10094,63381,Production Technician I,GE,31.3.82,41,F,Married,Switzerland,1.5.20,,N/A-StillEmployed,Active,Production,Kelley Spirea,Indeed,Fully Meets,4.73,5,0,14.2.23,0,6
Frank Costello,10193,83552,Data Analyst,GE,26.8.91,32,M ,Married,Switzerland,30.3.20,,N/A-StillEmployed,Active,IT/IS,Simon Roup,Indeed,Fully Meets,3.04,3,6,22.1.23,0,2
Jean Crimmings,10132,56149,Production Technician I,GE,4.10.92,31,F,Single,Switzerland,7.6.21,,N/A-StillEmployed,Active,Production,Michael Albert,LinkedIn,Fully Meets,4.12,5,0,28.1.23,0,15
Noah Cross,10083,92329,Sr. Network Engineer,GE,9.9.70,53,M ,Single,Switzerland,11.10.19,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,5,3,4,1.2.23,0,5
Lynn Daneault,10099,65729,Sales Manager,VD,19.4.95,28,F,Single,Switzerland,5.5.19,,N/A-StillEmployed,Active,Sales,Debra Houlihan,Indeed,Fully Meets,4.62,4,0,24.1.23,0,8
Ann Daniele,10212,85028,Sr. Network Engineer,GE,18.1.61,62,F,Married,Switzerland,11.10.19,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,3.1,5,8,2.12.23,0,19
Jene'ya Darson,10056,57583,Production Technician I,GE,11.5.83,40,F,Married,Switzerland,7.2.17,,N/A-StillEmployed,Active,Production,Elijiah Gray,Indeed,Fully Meets,5,3,0,25.2.23,0,1
Daniel Davis,10143,56294,Production Technician II,GE,14.9.84,39,M ,Single,Switzerland,11.7.16,,N/A-StillEmployed,Active,Production,Kissy Sullivan,LinkedIn,Fully Meets,3.96,4,0,27.2.23,0,6
Randy Dee,10311,56991,Production Technician I,GE,15.4.93,30,M ,Married,Switzerland,7.9.23,,N/A-StillEmployed,Active,Production,Brannon Miller,Indeed,Fully Meets,4.3,4,3,31.1.23,2,2
James DeGweck,10070,55722,Production Technician I,GE,31.10.82,41,M ,Married,Switzerland,16.5.16,6.8.21,unhappy,Voluntarily Terminated,Production,Webster Butler,Indeed,Fully Meets,5,4,0,4.2.20,0,14
Keyla Del Bosque,10155,101199,Software Engineer,BE,7.5.84,39,F,Single,Switzerland,1.9.17,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,CareerBuilder,Fully Meets,3.79,5,5,25.1.23,0,8
